type,doc_statement,current_try,q_0_age_answer,q_0_school_answer,q_0_taxes_answer,q_0_political_views_answer,q_0_consideration_answer,q_0_southern_border_answer,q_0_environment_answer,q_1_farmers_value,q_2_marks_value,q_3_athletics_value,doc_index,doc_truthfulness_value,doc_accesses,fre,distance,doc_time_elapsed,doc_name,doc_claimant,doc_date,doc_originatedFrom,doc_ground_truth_label
correct_15,COVID19 started because we eat animals,1.0,36-50 (1.50),4 year college/bachelor degree (1.80),"75,000 to less than 100,000 (5.90)",Moderate (1.80),Democrat (1.00),No opinion either way (0.80),Agree (1.80),wrong value (0.40),wrong value (0.50),wrong value (0.40),3.9,2.6,1.0,56.92999999999999,0.8,195.536,mostly-false_doc3,Image,2020-15-03,Instagram Posts,mostly-false
correct_15,On February 7 the WHO warned about the limited stock of PPE That same day the Trump administration announced it was sending 18 tons of masks gowns and respirators to China,1.1,26-35 (1.20),4 year college/bachelor degree (2.30),"75,000 to less than 100,000 (5.50)",Moderate (2.20),Democrat (1.40),No opinion either way (0.80),Agree (1.50),wrong value (0.30),wrong value (0.30),correct value (0.60),2.6,4.2,1.1,48.47,0.8,147.123,true_doc1,Facebook Post,2/4/2020,Facebook Posts,TRUE
correct_15,Says COVID19 remains in the air for eight hours and that everyone is now required to wear maskseverywhereï½,1.1,26-35 (1.00),4 year college/bachelor degree (1.90),"40,000 to less than 50,000 (4.20)",Moderate (2.50),Democrat (1.30),Disagree (0.50),Agree (1.70),wrong value (0.50),wrong value (0.40),correct value (0.60),2.1,1.6,1.0,70.13,0.8,192.143,false_doc1,Facebook Post,2020-28-03,Facebook Posts,FALSE
correct_15,Says most NC legislators are in the high risk age group for coronavirus,1.0,26-35 (0.90),Some college (etc.) (1.40),"50,000 to less than 75,000 (5.00)",Liberal (2.70),Democrat (0.90),No opinion either way (0.80),Agree (1.80),correct value (0.80),wrong value (0.50),wrong value (0.40),3.3,4.2,1.1,75.2,0.8,154.254,true_doc4,Kelly Alexander,2020-14-03,Tweet,TRUE
wrong_15,COVID literally stands for Chinese Originated Viral Infectious Disease,1.1,26-35 (1.20),4 year college/bachelor degree (2.30),"75,000 to less than 100,000 (5.50)",Moderate (2.20),Democrat (1.40),No opinion either way (0.80),Agree (1.50),wrong value (0.30),wrong value (0.30),correct value (0.60),2.4,1.5,1.0,11.58,1.5,176.2188888888889,pants-on-fire_doc4,Facebook Post,2020-25-03,Viral Image,pants-on-fire
wrong_15,Post saysthe blood test for coronavirus costs 3200â,1.1,26-35 (1.10),4 year college/bachelor degree (1.70),"50,000 to less than 75,000 (4.60)",Moderate (2.20),Democrat (1.40),No opinion either way (1.00),Agree (1.60),wrong value (0.50),wrong value (0.40),correct value (0.60),4.1,2.1,1.1,88.74,1.5,95.849,mostly-false_doc6,Facebook Post,2020-27-02,Facebook Posts,mostly-false
wrong_15,Weâve got to give the American public a rough estimate of how long we think this is going to take based mostly on the South Korean model which seems to be the trajectory that we are on thankfully and not the Italian model,1.0,26-35 (1.10),4 year college/bachelor degree (2.20),"40,000 to less than 50,000 (4.00)",Liberal (2.80),Democrat (1.20),Disagree (0.20),Agree (2.00),wrong value (0.40),correct value (0.70),wrong value (0.30),4.6,2.1,1.0,44.75,1.5,171.044,half-true_doc4,Brian Fitzpatrick,2020-23-03,Comments On The Radio,half-true
wrong_15,A video says that the Vatican confirmed that Pope Francis and two aides tested positive for coronavirus,1.1,26-35 (1.10),4 year college/bachelor degree (1.70),"50,000 to less than 75,000 (4.60)",Moderate (2.20),Democrat (1.40),No opinion either way (1.00),Agree (1.60),wrong value (0.50),wrong value (0.40),correct value (0.60),4.3,1.6,1.1,62.67999999999999,1.6,134.052,pants-on-fire_doc6,Youtube Video,2020-29-02,Youtube Videos,pants-on-fire
wrong_15,Says longstanding Food and Drug Administration regulationscreated barriers to the private industry creating a test quicklyâ for the coronavirus,1.0,26-35 (1.10),4 year college/bachelor degree (2.10),"40,000 to less than 50,000 (4.50)",Moderate (1.90),Democrat (1.00),No opinion either way (1.30),Agree (1.90),wrong value (0.20),wrong value (0.00),wrong value (0.40),3.1,3.4,1.1,1.43,1.6,120.499,true_doc8,Dan Crenshaw,2020-13-03,Tweet,TRUE
wrong_15,Church services canât resume until weâre all vaccinated says Bill Gates,1.1,36-50 (1.50),4 year college/bachelor degree (1.50),"40,000 to less than 50,000 (4.10)",Moderate (2.40),Democrat (1.20),No opinion either way (0.80),Agree (1.60),wrong value (0.40),wrong value (0.30),wrong value (0.30),2.6,2.7,1.1,68.77,1.7,178.78400000000002,false_doc8,Bloggers,9/4/2020,Blog Post,FALSE
wrong_15,A post sayhair weave and lace fronts manufactured in China may contain the coronavirusâ,1.1,26-35 (1.40),4 year college/bachelor degree (1.90),"50,000 to less than 75,000 (5.00)",Moderate (2.50),Democrat (1.00),No opinion either way (0.80),Agree (1.70),correct value (0.60),wrong value (0.40),wrong value (0.20),3.5,1.8,1.0,57.27,1.8,162.55599999999998,pants-on-fire_doc5,Bloggers,2020-26-02,Internet Posts,pants-on-fire
wrong_15,Says of the coronavirus threatthere was not a single suggestion by anyone a doctor a scientist a political figure that we needed to cancel Mardi Grasâ,1.0,26-35 (1.10),4 year college/bachelor degree (2.20),"40,000 to less than 50,000 (4.00)",Liberal (2.80),Democrat (1.20),Disagree (0.20),Agree (2.00),wrong value (0.40),correct value (0.70),wrong value (0.30),3.1,3.1,1.0,45.09,1.9,243.76999999999998,true_doc10,John Bel Edwards,5/4/2020,CNN interview,TRUE
wrong_15,This particular pandemic is one where I donât think nationwide thereâs been a single fatality under 25,1.0,26-35 (0.90),Some college (etc.) (1.40),"50,000 to less than 75,000 (5.00)",Liberal (2.70),Democrat (0.90),No opinion either way (0.80),Agree (1.80),correct value (0.80),wrong value (0.50),wrong value (0.40),3.0,1.9,1.2,45.76,1.9,127.748,pants-on-fire_doc7,Ron Desantis,9/4/2020,Meeting,pants-on-fire
wrong_15,We inherited a broken testâ for COVID19,1.1,36-50 (1.50),4 year college/bachelor degree (1.50),"40,000 to less than 50,000 (4.10)",Moderate (2.40),Democrat (1.20),No opinion either way (0.80),Agree (1.60),wrong value (0.40),wrong value (0.30),wrong value (0.30),3.3,1.9,1.0,64.37,1.9,123.35499999999999,pants-on-fire_doc2,Donald Trump,2020-30-03,"Interview on ""Fox and Friends""",pants-on-fire
wrong_15,Says to leave objects in the sun to avoid contracting the coronavirus,1.0,26-35 (0.90),Some college (etc.) (1.40),"50,000 to less than 75,000 (5.00)",Liberal (2.70),Democrat (0.90),No opinion either way (0.80),Agree (1.80),correct value (0.80),wrong value (0.50),wrong value (0.40),3.8,3.0,1.0,76.22,2.0,253.233,false_doc2,Facebook Post,2020-27-03,Facebook Posts,FALSE
wrong_15,Says for otherwise healthy peopleexperiencing mild to moderate respiratory symptoms with or without a COVID19 diagnosisonly high temperatures kill a virus so let your fever run highâ but not over 103 or 104 degrees,1.1,26-35 (1.40),4 year college/bachelor degree (1.90),"50,000 to less than 75,000 (5.00)",Moderate (2.50),Democrat (1.00),No opinion either way (0.80),Agree (1.70),correct value (0.60),wrong value (0.40),wrong value (0.20),3.2,3.1,1.1,28.51,2.1,144.27,mostly-false_doc10,Facebook Post,2020-28-03,Facebook Posts,mostly-false
wrong_15,Photo shows a crowded New York City subway train during stayathome order,1.1,36-50 (1.50),4 year college/bachelor degree (1.50),"40,000 to less than 50,000 (4.10)",Moderate (2.40),Democrat (1.20),No opinion either way (0.80),Agree (1.60),wrong value (0.40),wrong value (0.30),wrong value (0.30),3.1,2.7,1.0,59.3,2.3,171.725,true_doc9,Viral Image,2/4/2020,Facebook Post,TRUE
wrong_15,The government is closing businesses to stop the spread of coronavirus even though the numbers are nothing compared to H1N1 or Ebola Everyone needs to realize our government is up to something,1.0,26-35 (1.10),4 year college/bachelor degree (2.10),"40,000 to less than 50,000 (4.50)",Moderate (1.90),Democrat (1.00),No opinion either way (1.30),Agree (1.90),wrong value (0.20),wrong value (0.00),wrong value (0.40),5.4,2.4,1.0,39.0,2.4,135.478,pants-on-fire_doc8,Facebook User,2020-16-03,Facebook Post,pants-on-fire
wrong_15,Says the CDC now says that the coronavirus can survive on surfaces for up to 17 days,1.0,26-35 (1.10),4 year college/bachelor degree (2.20),"40,000 to less than 50,000 (4.00)",Liberal (2.80),Democrat (1.20),Disagree (0.20),Agree (2.00),wrong value (0.40),correct value (0.70),wrong value (0.30),3.2,3.3,1.0,88.06,2.5,199.73899999999998,false_doc4,Facebook Post,2020-23-03,Facebook Posts,FALSE
