type,doc_statement,current_try,q_0_age_answer,q_0_school_answer,q_0_taxes_answer,q_0_political_views_answer,q_0_consideration_answer,q_0_southern_border_answer,q_0_environment_answer,q_1_farmers_value,q_2_marks_value,q_3_athletics_value,doc_index,doc_truthfulness_value,doc_accesses,fre,doc_time_elapsed
wrong_false_5,Italy arrested a doctorfor intentionally killing over 3000 coronavirus patientsÂ,1.0,26-35 (1.30),"Postgrad. or professional schooling, no degree (2.60)","30,000 to less than 40,000 (3.20)",Moderate (1.80),Republican (0.50),Agree (1.80),Agree (1.70),wrong value (0.30),wrong value (0.20),wrong value (0.40),4.0,3.0,1.0,19.03,135.014
wrong_false_5,If your child gets this virus their going to hospital alone in a van with people they donât knowâto be with people they donât knowâ you will be at home without them in their time of need,2.0,26-35 (0.70),4 year college/bachelor degree (2.30),"40,000 to less than 50,000 (3.90)",Moderate (1.70),Democrat (1.00),Agree (1.90),Agree (1.80),wrong value (0.00),wrong value (0.00),wrong value (0.30),1.8,3.1,1.1,67.76,201.88666666666668
wrong_false_5,We inherited a broken testâ for COVID19,1.5,26-35 (1.12),4 year college/bachelor degree (2.12),"40,000 to less than 50,000 (4.00)",Conservative (1.25),Republican (0.50),Agree (1.75),Agree (2.00),wrong value (0.25),wrong value (0.12),wrong value (0.12),3.25,3.125,2.625,64.37,57.89125
wrong_false_5,The government is closing businesses to stop the spread of coronavirus even though the numbers are nothing compared to H1N1 or Ebola Everyone needs to realize our government is up to something,1.6666666666666667,36-50 (1.78),4 year college/bachelor degree (2.22),"40,000 to less than 50,000 (3.89)",Moderate (1.56),Democrat (0.56),Agree (2.00),Agree (2.00),wrong value (0.33),wrong value (0.33),wrong value (0.22),5.222222222222222,3.3333333333333335,1.6666666666666667,39.0,116.68222222222221
wrong_false_5,This particular pandemic is one where I donât think nationwide thereâs been a single fatality under 25,2.4,26-35 (1.20),4 year college/bachelor degree (1.90),"40,000 to less than 50,000 (3.70)",Moderate (1.90),Democrat (0.90),Agree (1.70),Agree (1.80),wrong value (0.50),wrong value (0.10),wrong value (0.10),3.0,4.0,1.2,45.76,178.989
wrong_true_5,Says of the coronavirus threatthere was not a single suggestion by anyone a doctor a scientist a political figure that we needed to cancel Mardi Grasâ,2.0,26-35 (0.70),4 year college/bachelor degree (2.30),"40,000 to less than 50,000 (3.90)",Moderate (1.70),Democrat (1.00),Agree (1.90),Agree (1.80),wrong value (0.00),wrong value (0.00),wrong value (0.30),3.1,2.8,1.1,45.09,149.18400000000003
wrong_true_5,No city in the state can quarantine itself without state approval,1.7,36-50 (1.80),4 year college/bachelor degree (2.30),"40,000 to less than 50,000 (4.10)",Moderate (1.60),Democrat (0.80),Agree (1.60),Agree (2.00),wrong value (0.30),wrong value (0.10),wrong value (0.10),4.7,2.9,1.6,68.77,96.674
wrong_true_5,Photo shows a crowded New York City subway train during stayathome order,1.5,26-35 (1.12),4 year college/bachelor degree (2.12),"40,000 to less than 50,000 (4.00)",Conservative (1.25),Republican (0.50),Agree (1.75),Agree (2.00),wrong value (0.25),wrong value (0.12),wrong value (0.12),3.25,3.0,1.0,59.3,38.02428571428572
wrong_true_5,Says longstanding Food and Drug Administration regulationscreated barriers to the private industry creating a test quicklyâ for the coronavirus,1.6666666666666667,36-50 (1.78),4 year college/bachelor degree (2.22),"40,000 to less than 50,000 (3.89)",Moderate (1.56),Democrat (0.56),Agree (2.00),Agree (2.00),wrong value (0.33),wrong value (0.33),wrong value (0.22),3.3333333333333335,3.0,1.2222222222222223,1.43,98.3875
wrong_true_5,Whole of Italy goes into quarantine,2.6,36-50 (1.50),4 year college/bachelor degree (2.10),"30,000 to less than 40,000 (3.40)",Moderate (2.10),Republican (0.40),Agree (1.80),Agree (2.00),wrong value (0.20),wrong value (0.20),wrong value (0.30),3.4,3.2,1.9,73.85,193.8311111111111
