type,unit_id,current_try,q_0_age_answer,q_0_school_answer,q_0_taxes_answer,q_0_political_views_answer,q_0_consideration_answer,q_0_southern_border_answer,q_0_environment_answer,q_0_time_elapsed,q_1_farmers_question,q_1_farmers_value,q_1_time_elapsed,q_2_marks_question,q_2_marks_value,q_2_time_elapsed,q_3_athletics_question,q_3_athletics_value,q_3_time_elapsed,doc_index,doc_name,doc_statement,doc_claimant,doc_date,doc_originatedFrom,doc_ground_truth_value,doc_ground_truth_label,doc_truthfulness_value,doc_truthfulness_url,doc_accesses,doc_time_elapsed
correct_false_5,unit_62,1,26-35,"Postgrad. or professional schooling, no degree","40,000 to less than 50,000",Very conservative,Democrat,Agree,Agree,18.84,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,39.03,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,64.57,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,31.99,3.0,pants-on-fire_doc3,Saysthere is noï½ COVID19 virus,Facebook User,2020-19-03,Facebook Post,0.0,pants-on-fire,2.0,https://quizlet.com/134574768/practice-questions-flash-cards/,1.0,28.07
correct_false_5,unit_89,1,26-35,4 year college/bachelor degree,"50,000 to less than 75,000",Moderate,Independent,No opinion either way,No opinion either way,39.66,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,56.07,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,214.57,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,50.5,5.0,pants-on-fire_doc9,the US is developing anantivirusï½ that includes a chip to track your movement,Facebook User,2020-16-03,Facebook Post,0.0,pants-on-fire,1.0,https://mediabiasfactcheck.com/2020/04/04/the-latest-fact-checks-from-the-international-fact-checking-network-ifcn-04-04-2020/,2.0,125.6
correct_false_5,unit_91,1,36-50,4 year college/bachelor degree,"50,000 to less than 75,000",Moderate,Independent,Agree,Agree,76.7,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,77.49,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,44.7,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",correct value,43.94,7.0,pants-on-fire_doc6,A video says that the Vatican confirmed that Pope Francis and two aides tested positive for coronavirus,Youtube Video,2020-29-02,Youtube Videos,0.0,pants-on-fire,1.0,https://www.snopes.com/fact-check/pope-francis-coronavirus/,1.0,77.45
correct_false_5,unit_66,1,26-35,Some college (etc.),"10,000 to less than 20,000",Moderate,Independent,Disagree,Agree,28.44,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,43.42,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,54.23,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,15.08,3.0,pants-on-fire_doc3,Saysthere is noï½ COVID19 virus,Facebook User,2020-19-03,Facebook Post,0.0,pants-on-fire,0.0,https://www.hindustantimes.com/tech/india-asks-tiktok-facebook-to-remove-users-spreading-covid-19-misinformation/story-yTXUXrUnQgIq381Hgh1j3J.html,1.0,264.12
correct_false_5,unit_93,1,26-35,4 year college/bachelor degree,"100,000 to less than 150,000",Liberal,Democrat,Agree,Agree,65.89,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,24.54,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,correct value,16.48,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",correct value,29.35,6.0,pants-on-fire_doc6,A video says that the Vatican confirmed that Pope Francis and two aides tested positive for coronavirus,Youtube Video,2020-29-02,Youtube Videos,0.0,pants-on-fire,5.0,https://www.snopes.com/fact-check/pope-francis-coronavirus/,1.0,172.01
correct_false_5,unit_42,1,19-25,Postgrad. or professional degree (etc.),"75,000 to less than 100,000",Very liberal,Democrat,Disagree,Agree,31.91,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",correct value,45.32,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,correct value,48.04,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",correct value,50.4,7.0,pants-on-fire_doc10,Italy arrested a doctorfor intentionally killing over 3000 coronavirus patientsï½,Bloggers,2020-31-03,Blog Post,0.0,pants-on-fire,0.0,https://www.reuters.com/article/uk-factcheck-coronavirus-italy-doctor-idUSKBN21L2Y9,1.0,118.26
correct_false_5,unit_4,1,19-25,High school graduate or GED (etc.),"50,000 to less than 75,000",Liberal,Independent,Agree,Agree,38.92,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",correct value,18.44,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,16.3,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",correct value,37.42,3.0,pants-on-fire_doc4,COVID literally stands for Chinese Originated Viral Infectious Disease,Facebook Post,2020-25-03,Viral Image,0.0,pants-on-fire,0.0,https://checkyourfact.com/2020/03/26/fact-check-covid-19-chinese-originated-viral-infectious-disease/,1.0,67.44
correct_false_5,unit_46,1,36-50,Postgrad. or professional degree (etc.),"150,000 or more",Moderate,Democrat,Disagree,Agree,24.6,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,23.58,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,33.56,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,17.57,3.0,pants-on-fire_doc10,Italy arrested a doctorfor intentionally killing over 3000 coronavirus patientsï½,Bloggers,2020-31-03,Blog Post,0.0,pants-on-fire,1.0,https://www.reuters.com/article/uk-factcheck-coronavirus-italy-doctor-idUSKBN21L2Y9,1.0,77.8
correct_false_5,unit_80,1,26-35,4 year college/bachelor degree,"30,000 to less than 40,000",Moderate,Democrat,Agree,Agree,32.08,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,43.29,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,16.78,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,34.26,5.0,pants-on-fire_doc9,the US is developing anantivirusï½ that includes a chip to track your movement,Facebook User,2020-16-03,Facebook Post,0.0,pants-on-fire,4.0,https://cuidateplus.marca.com/enfermedades/infecciosas/coronavirus.html,2.0,85.37
correct_false_5,unit_86,1,36-50,4 year college/bachelor degree,"20,000 to less than 30,000",Very liberal,Something else,Disagree,Agree,32.27,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",correct value,14.93,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,40.54,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,20.99,3.0,pants-on-fire_doc9,the US is developing anantivirusâ that includes a chip to track your movement,Facebook User,2020-16-03,Facebook Post,0.0,pants-on-fire,0.0,https://mediabiasfactcheck.com/2020/04/04/the-latest-fact-checks-from-the-international-fact-checking-network-ifcn-04-04-2020/,1.0,171.27
correct_false_5,unit_94,1,19-25,4 year college/bachelor degree,"50,000 to less than 75,000",Liberal,Democrat,Disagree,Agree,55.54,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,36.55,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,71.47,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",correct value,36.1,4.0,pants-on-fire_doc6,A video says that the Vatican confirmed that Pope Francis and two aides tested positive for coronavirus,Youtube Video,2020-29-02,Youtube Videos,0.0,pants-on-fire,1.0,https://www.abc.net.au/news/2020-03-04/pope-francis-has-cold-not-coronavirus-vatican-says/12023538,1.0,228.77
correct_false_5,unit_8,1,26-35,Some college (etc.),"40,000 to less than 50,000",Moderate,Independent,No opinion either way,No opinion either way,15.51,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",correct value,43.71,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,19.1,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,29.41,2.0,pants-on-fire_doc4,COVID literally stands for Chinese Originated Viral Infectious Disease,Facebook Post,2020-25-03,Viral Image,0.0,pants-on-fire,0.0,https://checkyourfact.com/2020/03/26/fact-check-covid-19-chinese-originated-viral-infectious-disease/,1.0,74.44
correct_false_5,unit_41,1,36-50,Postgrad. or professional degree (etc.),"30,000 to less than 40,000",Very conservative,Republican,Agree,Agree,63.0,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,38.99,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,43.88,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",correct value,36.83,5.0,pants-on-fire_doc10,Italy arrested a doctorfor intentionally killing over 3000 coronavirus patientsâ,Bloggers,2020-31-03,Blog Post,0.0,pants-on-fire,4.0,https://www.reuters.com/article/uk-factcheck-coronavirus-italy-doctor-idUSKBN21L2Y9,1.0,149.18
correct_false_5,unit_2,1,26-35,"Postgrad. or professional schooling, no degree","30,000 to less than 40,000",Liberal,Democrat,Disagree,Agree,27.44,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",correct value,195.86,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,10.78,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",correct value,109.21,0.0,pants-on-fire_doc4,COVID literally stands for Chinese Originated Viral Infectious Disease,Facebook Post,2020-25-03,Viral Image,0.0,pants-on-fire,0.0,https://heavy.com/news/2020/03/what-does-covid-19-stand-for/,1.0,242.03
correct_false_5,unit_87,1,19-25,4 year college/bachelor degree,"50,000 to less than 75,000",Moderate,Republican,Agree,No opinion either way,38.68,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,39.38,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,19.46,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",correct value,83.23,1.0,pants-on-fire_doc9,the US is developing anantivirusï½ that includes a chip to track your movement,Facebook User,2020-16-03,Facebook Post,0.0,pants-on-fire,3.0,https://www.kff.org/medicaid/issue-brief/medicaid-emergency-authority-tracker-approved-state-actions-to-address-covid-19/,1.0,264.2
correct_false_5,unit_60,1,36-50,Some college (etc.),"40,000 to less than 50,000",Very conservative,Democrat,Agree,Agree,26.83,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,23.75,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,17.15,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,14.76,1.0,pants-on-fire_doc3,Saysthere is noâ COVID19 virus,Facebook User,2020-19-03,Facebook Post,0.0,pants-on-fire,4.0,https://www.cdc.gov/coronavirus/2019-ncov/daily-life-coping/animals.html,1.0,46.16
correct_false_5,unit_6,1,26-35,Postgrad. or professional degree (etc.),"100,000 to less than 150,000",Conservative,Republican,Agree,Agree,31.63,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",correct value,36.37,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,correct value,14.92,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",correct value,27.06,0.0,pants-on-fire_doc4,COVID literally stands for Chinese Originated Viral Infectious Disease,Facebook Post,2020-25-03,Viral Image,0.0,pants-on-fire,0.0,https://checkyourfact.com/2020/03/26/fact-check-covid-19-chinese-originated-viral-infectious-disease/,1.0,263.06
correct_false_5,unit_84,1,19-25,4 year college/bachelor degree,"20,000 to less than 30,000",Very liberal,Democrat,Disagree,Agree,26.58,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,20.95,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,28.1,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,20.82,3.0,pants-on-fire_doc9,the US is developing anantivirusâ that includes a chip to track your movement,Facebook User,2020-16-03,Facebook Post,0.0,pants-on-fire,2.0,https://www.forbes.com/sites/mattperez/2020/03/18/bill-gates-calls-for-national-tracking-system-for-coronavirus-during-reddit-ama/,1.0,86.95
correct_false_5,unit_97,1,19-25,4 year college/bachelor degree,"50,000 to less than 75,000",Liberal,Democrat,Disagree,Agree,21.72,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",correct value,676.89,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,14.85,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,29.37,6.0,pants-on-fire_doc6,A video says that the Vatican confirmed that Pope Francis and two aides tested positive for coronavirus,Youtube Video,2020-29-02,Youtube Videos,0.0,pants-on-fire,1.0,https://www.rappler.com/newsbreak/fact-check/253181-vatican-confirms-pope-francis-tested-positive-novel-coronavirus,1.0,134.85
correct_false_5,unit_47,1,26-35,Some college (etc.),"30,000 to less than 40,000",Moderate,Independent,Agree,Agree,33.89,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,57.99,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,76.31,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,88.74,7.0,pants-on-fire_doc10,Italy arrested a doctorfor intentionally killing over 3000 coronavirus patientsï½,Bloggers,2020-31-03,Blog Post,0.0,pants-on-fire,0.0,https://www.abc.net.au/news/2020-04-09/coronacheck-joe-exotic-does-not-have-covid-19/12128150,1.0,147.99
correct_false_5,unit_67,1,19-25,4 year college/bachelor degree,"100,000 to less than 150,000",Moderate,Independent,Disagree,Agree,29.31,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",correct value,23.29,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,11.2,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",correct value,16.82,3.0,pants-on-fire_doc3,Saysthere is noï½ COVID19 virus,Facebook User,2020-19-03,Facebook Post,0.0,pants-on-fire,0.0,https://www.express.co.uk/news/weird/1263101/Is-coronavirus-real-conspiracy-theories-COVID19-bioweapon-manmade-virus,1.0,114.2
correct_false_5,unit_81,1,36-50,Some college (etc.),"Less than 10,000",Liberal,Democrat,Disagree,No opinion either way,44.13,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",correct value,83.57,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,correct value,33.75,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",correct value,77.81,7.0,pants-on-fire_doc9,the US is developing anantivirusï½ that includes a chip to track your movement,Facebook User,2020-16-03,Facebook Post,0.0,pants-on-fire,0.0,https://mediabiasfactcheck.com/2020/04/04/the-latest-fact-checks-from-the-international-fact-checking-network-ifcn-04-04-2020/,1.0,125.19
correct_false_5,unit_88,1,50-80,"Postgrad. or professional schooling, no degree","100,000 to less than 150,000",Very liberal,Democrat,Disagree,Agree,26.44,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",correct value,28.28,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,correct value,11.67,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",correct value,15.81,2.0,pants-on-fire_doc9,the US is developing anantivirusï½ that includes a chip to track your movement,Facebook User,2020-16-03,Facebook Post,0.0,pants-on-fire,0.0,https://mediabiasfactcheck.com/2020/04/04/the-latest-fact-checks-from-the-international-fact-checking-network-ifcn-04-04-2020/,1.0,295.87
correct_false_5,unit_65,1,19-25,4 year college/bachelor degree,"50,000 to less than 75,000",Moderate,Democrat,Disagree,Agree,15.52,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,10.73,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,34.53,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,34.68,0.0,pants-on-fire_doc3,Saysthere is noï½ COVID19 virus,Facebook User,2020-19-03,Facebook Post,0.0,pants-on-fire,0.0,https://www.rollingstone.com/culture/culture-features/anti-vax-doctor-covid-19-death-certificates-984407/,1.0,212.78
correct_false_5,unit_3,1,50-80,Some college (etc.),"30,000 to less than 40,000",Conservative,Republican,Agree,Disagree,22.2,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",correct value,25.23,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,36.53,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,31.92,6.0,pants-on-fire_doc4,COVID literally stands for Chinese Originated Viral Infectious Disease,Facebook Post,2020-25-03,Viral Image,0.0,pants-on-fire,1.0,https://www.snopes.com/fact-check/does-covid-stand-for/,1.0,270.58
correct_false_5,unit_64,1,26-35,4 year college/bachelor degree,"75,000 to less than 100,000",Conservative,Democrat,Agree,Agree,43.77,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",correct value,121.28,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,33.77,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,41.54,7.0,pants-on-fire_doc3,Saysthere is noï½ COVID19 virus,Facebook User,2020-19-03,Facebook Post,0.0,pants-on-fire,3.0,https://reason.com/2020/04/17/covid-19-lethality-not-much-different-than-flu-says-new-study/,1.0,62.68
correct_false_5,unit_43,1,36-50,Some college (etc.),"30,000 to less than 40,000",Moderate,Democrat,No opinion either way,Agree,33.18,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,21.96,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,20.44,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,39.47,7.0,pants-on-fire_doc10,Italy arrested a doctorfor intentionally killing over 3000 coronavirus patientsï½,Bloggers,2020-31-03,Blog Post,0.0,pants-on-fire,0.0,https://www.abc.net.au/news/2020-04-09/coronacheck-joe-exotic-does-not-have-covid-19/12128150,1.0,58.93
