file,type,value,rate
correct_false_abc_5,q_0_school_answer,4 year college/bachelor degree,0.5
correct_false_abc_5,q_0_school_answer,High school graduate or GED (etc.),0.08
correct_false_abc_5,q_0_school_answer,Postgrad. or professional degree (etc.),0.18
correct_false_abc_5,q_0_school_answer,"Postgrad. or professional schooling, no degree",0.06
correct_false_abc_5,q_0_school_answer,Some college (etc.),0.2
correct_false_all_10,q_0_school_answer,4 year college/bachelor degree,0.43
correct_false_all_10,q_0_school_answer,High school graduate or GED (etc.),0.08
correct_false_all_10,q_0_school_answer,Postgrad. or professional degree (etc.),0.2
correct_false_all_10,q_0_school_answer,"Postgrad. or professional schooling, no degree",0.05
correct_false_all_10,q_0_school_answer,Some college (etc.),0.25
correct_false_politifact_5,q_0_school_answer,4 year college/bachelor degree,0.36
correct_false_politifact_5,q_0_school_answer,High school graduate or GED (etc.),0.08
correct_false_politifact_5,q_0_school_answer,Postgrad. or professional degree (etc.),0.22
correct_false_politifact_5,q_0_school_answer,"Postgrad. or professional schooling, no degree",0.04
correct_false_politifact_5,q_0_school_answer,Some college (etc.),0.3
correct_true_abc_5,q_0_school_answer,4 year college/bachelor degree,0.44
correct_true_abc_5,q_0_school_answer,High school graduate or GED (etc.),0.12
correct_true_abc_5,q_0_school_answer,Postgrad. or professional degree (etc.),0.3
correct_true_abc_5,q_0_school_answer,"Postgrad. or professional schooling, no degree",0.04
correct_true_abc_5,q_0_school_answer,Some college (etc.),0.1
correct_true_all_10,q_0_school_answer,4 year college/bachelor degree,0.54
correct_true_all_10,q_0_school_answer,High school graduate or GED (etc.),0.1
correct_true_all_10,q_0_school_answer,Postgrad. or professional degree (etc.),0.2
correct_true_all_10,q_0_school_answer,"Postgrad. or professional schooling, no degree",0.05
correct_true_all_10,q_0_school_answer,Some college (etc.),0.11
correct_true_politifact_5,q_0_school_answer,4 year college/bachelor degree,0.64
correct_true_politifact_5,q_0_school_answer,High school graduate or GED (etc.),0.08
correct_true_politifact_5,q_0_school_answer,Postgrad. or professional degree (etc.),0.1
correct_true_politifact_5,q_0_school_answer,"Postgrad. or professional schooling, no degree",0.06
correct_true_politifact_5,q_0_school_answer,Some college (etc.),0.12
wrong_false_abc_5,q_0_school_answer,4 year college/bachelor degree,0.48
wrong_false_abc_5,q_0_school_answer,High school graduate or GED (etc.),0.06
wrong_false_abc_5,q_0_school_answer,Postgrad. or professional degree (etc.),0.22
wrong_false_abc_5,q_0_school_answer,"Postgrad. or professional schooling, no degree",0.06
wrong_false_abc_5,q_0_school_answer,Some college (etc.),0.18
wrong_false_all_10,q_0_school_answer,4 year college/bachelor degree,0.56
wrong_false_all_10,q_0_school_answer,High school graduate or GED (etc.),0.05
wrong_false_all_10,q_0_school_answer,Postgrad. or professional degree (etc.),0.17
wrong_false_all_10,q_0_school_answer,"Postgrad. or professional schooling, no degree",0.06
wrong_false_all_10,q_0_school_answer,Some college (etc.),0.15
wrong_false_politifact_5,q_0_school_answer,4 year college/bachelor degree,0.66
wrong_false_politifact_5,q_0_school_answer,High school graduate or GED (etc.),0.04
wrong_false_politifact_5,q_0_school_answer,Postgrad. or professional degree (etc.),0.1
wrong_false_politifact_5,q_0_school_answer,"Postgrad. or professional schooling, no degree",0.04
wrong_false_politifact_5,q_0_school_answer,Some college (etc.),0.16
wrong_true_abc_5,q_0_school_answer,4 year college/bachelor degree,0.48
wrong_true_abc_5,q_0_school_answer,High school graduate or GED (etc.),0.04
wrong_true_abc_5,q_0_school_answer,Postgrad. or professional degree (etc.),0.14
wrong_true_abc_5,q_0_school_answer,"Postgrad. or professional schooling, no degree",0.06
wrong_true_abc_5,q_0_school_answer,Some college (etc.),0.28
wrong_true_all_10,q_0_school_answer,4 year college/bachelor degree,0.47
wrong_true_all_10,q_0_school_answer,High school graduate or GED (etc.),0.05
wrong_true_all_10,q_0_school_answer,Postgrad. or professional degree (etc.),0.18
wrong_true_all_10,q_0_school_answer,"Postgrad. or professional schooling, no degree",0.05
wrong_true_all_10,q_0_school_answer,Some college (etc.),0.25
wrong_true_politifact_5,q_0_school_answer,4 year college/bachelor degree,0.46
wrong_true_politifact_5,q_0_school_answer,High school graduate or GED (etc.),0.06
wrong_true_politifact_5,q_0_school_answer,Postgrad. or professional degree (etc.),0.18
wrong_true_politifact_5,q_0_school_answer,"Postgrad. or professional schooling, no degree",0.06
wrong_true_politifact_5,q_0_school_answer,Some college (etc.),0.24
correct_false_abc_5,q_0_taxes_answer,"10,000 to less than 20,000",0.02
correct_false_abc_5,q_0_taxes_answer,"100,000 to less than 150,000",0.1
correct_false_abc_5,q_0_taxes_answer,"150,000 or more",0.04
correct_false_abc_5,q_0_taxes_answer,"20,000 to less than 30,000",0.06
correct_false_abc_5,q_0_taxes_answer,"30,000 to less than 40,000",0.18
correct_false_abc_5,q_0_taxes_answer,"40,000 to less than 50,000",0.1
correct_false_abc_5,q_0_taxes_answer,"50,000 to less than 75,000",0.26
correct_false_abc_5,q_0_taxes_answer,"75,000 to less than 100,000",0.18
correct_false_abc_5,q_0_taxes_answer,"Less than 10,000",0.08
correct_false_all_10,q_0_taxes_answer,"10,000 to less than 20,000",0.04
correct_false_all_10,q_0_taxes_answer,"100,000 to less than 150,000",0.09
correct_false_all_10,q_0_taxes_answer,"150,000 or more",0.05
correct_false_all_10,q_0_taxes_answer,"20,000 to less than 30,000",0.11
correct_false_all_10,q_0_taxes_answer,"30,000 to less than 40,000",0.15
correct_false_all_10,q_0_taxes_answer,"40,000 to less than 50,000",0.11
correct_false_all_10,q_0_taxes_answer,"50,000 to less than 75,000",0.25
correct_false_all_10,q_0_taxes_answer,"75,000 to less than 100,000",0.14
correct_false_all_10,q_0_taxes_answer,"Less than 10,000",0.07
correct_false_politifact_5,q_0_taxes_answer,"10,000 to less than 20,000",0.06
correct_false_politifact_5,q_0_taxes_answer,"100,000 to less than 150,000",0.08
correct_false_politifact_5,q_0_taxes_answer,"150,000 or more",0.06
correct_false_politifact_5,q_0_taxes_answer,"20,000 to less than 30,000",0.16
correct_false_politifact_5,q_0_taxes_answer,"30,000 to less than 40,000",0.12
correct_false_politifact_5,q_0_taxes_answer,"40,000 to less than 50,000",0.12
correct_false_politifact_5,q_0_taxes_answer,"50,000 to less than 75,000",0.24
correct_false_politifact_5,q_0_taxes_answer,"75,000 to less than 100,000",0.1
correct_false_politifact_5,q_0_taxes_answer,"Less than 10,000",0.06
correct_true_abc_5,q_0_taxes_answer,"10,000 to less than 20,000",0.02
correct_true_abc_5,q_0_taxes_answer,"100,000 to less than 150,000",0.12
correct_true_abc_5,q_0_taxes_answer,"150,000 or more",0.04
correct_true_abc_5,q_0_taxes_answer,"20,000 to less than 30,000",0.06
correct_true_abc_5,q_0_taxes_answer,"30,000 to less than 40,000",0.08
correct_true_abc_5,q_0_taxes_answer,"40,000 to less than 50,000",0.2
correct_true_abc_5,q_0_taxes_answer,"50,000 to less than 75,000",0.24
correct_true_abc_5,q_0_taxes_answer,"75,000 to less than 100,000",0.22
correct_true_abc_5,q_0_taxes_answer,"Less than 10,000",0.02
correct_true_all_10,q_0_taxes_answer,"10,000 to less than 20,000",0.03
correct_true_all_10,q_0_taxes_answer,"100,000 to less than 150,000",0.09
correct_true_all_10,q_0_taxes_answer,"150,000 or more",0.06
correct_true_all_10,q_0_taxes_answer,"20,000 to less than 30,000",0.06
correct_true_all_10,q_0_taxes_answer,"30,000 to less than 40,000",0.12
correct_true_all_10,q_0_taxes_answer,"40,000 to less than 50,000",0.21
correct_true_all_10,q_0_taxes_answer,"50,000 to less than 75,000",0.24
correct_true_all_10,q_0_taxes_answer,"75,000 to less than 100,000",0.18
correct_true_all_10,q_0_taxes_answer,"Less than 10,000",0.01
correct_true_politifact_5,q_0_taxes_answer,"10,000 to less than 20,000",0.04
correct_true_politifact_5,q_0_taxes_answer,"100,000 to less than 150,000",0.06
correct_true_politifact_5,q_0_taxes_answer,"150,000 or more",0.08
correct_true_politifact_5,q_0_taxes_answer,"20,000 to less than 30,000",0.06
correct_true_politifact_5,q_0_taxes_answer,"30,000 to less than 40,000",0.16
correct_true_politifact_5,q_0_taxes_answer,"40,000 to less than 50,000",0.22
correct_true_politifact_5,q_0_taxes_answer,"50,000 to less than 75,000",0.24
correct_true_politifact_5,q_0_taxes_answer,"75,000 to less than 100,000",0.14
wrong_false_abc_5,q_0_taxes_answer,"10,000 to less than 20,000",0.06
wrong_false_abc_5,q_0_taxes_answer,"100,000 to less than 150,000",0.06
wrong_false_abc_5,q_0_taxes_answer,"150,000 or more",0.04
wrong_false_abc_5,q_0_taxes_answer,"20,000 to less than 30,000",0.04
wrong_false_abc_5,q_0_taxes_answer,"30,000 to less than 40,000",0.14
wrong_false_abc_5,q_0_taxes_answer,"40,000 to less than 50,000",0.1
wrong_false_abc_5,q_0_taxes_answer,"50,000 to less than 75,000",0.3
wrong_false_abc_5,q_0_taxes_answer,"75,000 to less than 100,000",0.26
wrong_false_all_10,q_0_taxes_answer,"10,000 to less than 20,000",0.09
wrong_false_all_10,q_0_taxes_answer,"100,000 to less than 150,000",0.04
wrong_false_all_10,q_0_taxes_answer,"150,000 or more",0.04
wrong_false_all_10,q_0_taxes_answer,"20,000 to less than 30,000",0.03
wrong_false_all_10,q_0_taxes_answer,"30,000 to less than 40,000",0.13
wrong_false_all_10,q_0_taxes_answer,"40,000 to less than 50,000",0.13
wrong_false_all_10,q_0_taxes_answer,"50,000 to less than 75,000",0.27
wrong_false_all_10,q_0_taxes_answer,"75,000 to less than 100,000",0.22
wrong_false_all_10,q_0_taxes_answer,"Less than 10,000",0.04
wrong_false_politifact_5,q_0_taxes_answer,"10,000 to less than 20,000",0.12
wrong_false_politifact_5,q_0_taxes_answer,"100,000 to less than 150,000",0.02
wrong_false_politifact_5,q_0_taxes_answer,"150,000 or more",0.06
wrong_false_politifact_5,q_0_taxes_answer,"20,000 to less than 30,000",0.04
wrong_false_politifact_5,q_0_taxes_answer,"30,000 to less than 40,000",0.14
wrong_false_politifact_5,q_0_taxes_answer,"40,000 to less than 50,000",0.16
wrong_false_politifact_5,q_0_taxes_answer,"50,000 to less than 75,000",0.26
wrong_false_politifact_5,q_0_taxes_answer,"75,000 to less than 100,000",0.16
wrong_false_politifact_5,q_0_taxes_answer,"Less than 10,000",0.04
wrong_true_abc_5,q_0_taxes_answer,"10,000 to less than 20,000",0.1
wrong_true_abc_5,q_0_taxes_answer,"100,000 to less than 150,000",0.08
wrong_true_abc_5,q_0_taxes_answer,"150,000 or more",0.1
wrong_true_abc_5,q_0_taxes_answer,"20,000 to less than 30,000",0.08
wrong_true_abc_5,q_0_taxes_answer,"30,000 to less than 40,000",0.18
wrong_true_abc_5,q_0_taxes_answer,"40,000 to less than 50,000",0.12
wrong_true_abc_5,q_0_taxes_answer,"50,000 to less than 75,000",0.14
wrong_true_abc_5,q_0_taxes_answer,"75,000 to less than 100,000",0.16
wrong_true_abc_5,q_0_taxes_answer,"Less than 10,000",0.04
wrong_true_all_10,q_0_taxes_answer,"10,000 to less than 20,000",0.1
wrong_true_all_10,q_0_taxes_answer,"100,000 to less than 150,000",0.06
wrong_true_all_10,q_0_taxes_answer,"150,000 or more",0.06
wrong_true_all_10,q_0_taxes_answer,"20,000 to less than 30,000",0.05
wrong_true_all_10,q_0_taxes_answer,"30,000 to less than 40,000",0.16
wrong_true_all_10,q_0_taxes_answer,"40,000 to less than 50,000",0.15
wrong_true_all_10,q_0_taxes_answer,"50,000 to less than 75,000",0.19
wrong_true_all_10,q_0_taxes_answer,"75,000 to less than 100,000",0.19
wrong_true_all_10,q_0_taxes_answer,"Less than 10,000",0.04
wrong_true_politifact_5,q_0_taxes_answer,"10,000 to less than 20,000",0.1
wrong_true_politifact_5,q_0_taxes_answer,"100,000 to less than 150,000",0.06
wrong_true_politifact_5,q_0_taxes_answer,"150,000 or more",0.08
wrong_true_politifact_5,q_0_taxes_answer,"20,000 to less than 30,000",0.06
wrong_true_politifact_5,q_0_taxes_answer,"30,000 to less than 40,000",0.1
wrong_true_politifact_5,q_0_taxes_answer,"40,000 to less than 50,000",0.2
wrong_true_politifact_5,q_0_taxes_answer,"50,000 to less than 75,000",0.1
wrong_true_politifact_5,q_0_taxes_answer,"75,000 to less than 100,000",0.24
wrong_true_politifact_5,q_0_taxes_answer,"Less than 10,000",0.06
correct_false_abc_5,q_0_political_views_answer,Conservative,0.18
correct_false_abc_5,q_0_political_views_answer,Liberal,0.38
correct_false_abc_5,q_0_political_views_answer,Moderate,0.22
correct_false_abc_5,q_0_political_views_answer,Very conservative,0.1
correct_false_abc_5,q_0_political_views_answer,Very liberal,0.14
correct_false_all_10,q_0_political_views_answer,Conservative,0.17
correct_false_all_10,q_0_political_views_answer,Liberal,0.34
correct_false_all_10,q_0_political_views_answer,Moderate,0.19
correct_false_all_10,q_0_political_views_answer,Very conservative,0.1
correct_false_all_10,q_0_political_views_answer,Very liberal,0.21
correct_false_politifact_5,q_0_political_views_answer,Conservative,0.16
correct_false_politifact_5,q_0_political_views_answer,Liberal,0.3
correct_false_politifact_5,q_0_political_views_answer,Moderate,0.16
correct_false_politifact_5,q_0_political_views_answer,Very conservative,0.1
correct_false_politifact_5,q_0_political_views_answer,Very liberal,0.28
correct_true_abc_5,q_0_political_views_answer,Conservative,0.2
correct_true_abc_5,q_0_political_views_answer,Liberal,0.26
correct_true_abc_5,q_0_political_views_answer,Moderate,0.2
correct_true_abc_5,q_0_political_views_answer,Very conservative,0.18
correct_true_abc_5,q_0_political_views_answer,Very liberal,0.16
correct_true_all_10,q_0_political_views_answer,Conservative,0.16
correct_true_all_10,q_0_political_views_answer,Liberal,0.25
correct_true_all_10,q_0_political_views_answer,Moderate,0.27
correct_true_all_10,q_0_political_views_answer,Very conservative,0.16
correct_true_all_10,q_0_political_views_answer,Very liberal,0.16
correct_true_politifact_5,q_0_political_views_answer,Conservative,0.12
correct_true_politifact_5,q_0_political_views_answer,Liberal,0.24
correct_true_politifact_5,q_0_political_views_answer,Moderate,0.34
correct_true_politifact_5,q_0_political_views_answer,Very conservative,0.14
correct_true_politifact_5,q_0_political_views_answer,Very liberal,0.16
wrong_false_abc_5,q_0_political_views_answer,Conservative,0.12
wrong_false_abc_5,q_0_political_views_answer,Liberal,0.22
wrong_false_abc_5,q_0_political_views_answer,Moderate,0.28
wrong_false_abc_5,q_0_political_views_answer,Very conservative,0.16
wrong_false_abc_5,q_0_political_views_answer,Very liberal,0.22
wrong_false_all_10,q_0_political_views_answer,Conservative,0.12
wrong_false_all_10,q_0_political_views_answer,Liberal,0.31
wrong_false_all_10,q_0_political_views_answer,Moderate,0.27
wrong_false_all_10,q_0_political_views_answer,Very conservative,0.16
wrong_false_all_10,q_0_political_views_answer,Very liberal,0.13
wrong_false_politifact_5,q_0_political_views_answer,Conservative,0.1
wrong_false_politifact_5,q_0_political_views_answer,Liberal,0.38
wrong_false_politifact_5,q_0_political_views_answer,Moderate,0.32
wrong_false_politifact_5,q_0_political_views_answer,Very conservative,0.14
wrong_false_politifact_5,q_0_political_views_answer,Very liberal,0.06
wrong_true_abc_5,q_0_political_views_answer,Conservative,0.2
wrong_true_abc_5,q_0_political_views_answer,Liberal,0.38
wrong_true_abc_5,q_0_political_views_answer,Moderate,0.22
wrong_true_abc_5,q_0_political_views_answer,Very conservative,0.04
wrong_true_abc_5,q_0_political_views_answer,Very liberal,0.16
wrong_true_all_10,q_0_political_views_answer,Conservative,0.19
wrong_true_all_10,q_0_political_views_answer,Liberal,0.37
wrong_true_all_10,q_0_political_views_answer,Moderate,0.2
wrong_true_all_10,q_0_political_views_answer,Very conservative,0.07
wrong_true_all_10,q_0_political_views_answer,Very liberal,0.17
wrong_true_politifact_5,q_0_political_views_answer,Conservative,0.28
wrong_true_politifact_5,q_0_political_views_answer,Liberal,0.32
wrong_true_politifact_5,q_0_political_views_answer,Moderate,0.22
wrong_true_politifact_5,q_0_political_views_answer,Very conservative,0.08
wrong_true_politifact_5,q_0_political_views_answer,Very liberal,0.1
correct_false_abc_5,q_0_consideration_answer,Democrat,0.48
correct_false_abc_5,q_0_consideration_answer,Independent,0.28
correct_false_abc_5,q_0_consideration_answer,Republican,0.24
correct_false_abc_5,q_0_consideration_answer,Something else,0.02
correct_false_all_10,q_0_consideration_answer,Democrat,0.45
correct_false_all_10,q_0_consideration_answer,Independent,0.3
correct_false_all_10,q_0_consideration_answer,Republican,0.24
correct_false_all_10,q_0_consideration_answer,Something else,0.02
correct_false_politifact_5,q_0_consideration_answer,Democrat,0.42
correct_false_politifact_5,q_0_consideration_answer,Independent,0.32
correct_false_politifact_5,q_0_consideration_answer,Republican,0.24
correct_false_politifact_5,q_0_consideration_answer,Something else,0.02
correct_true_abc_5,q_0_consideration_answer,Democrat,0.34
correct_true_abc_5,q_0_consideration_answer,Independent,0.22
correct_true_abc_5,q_0_consideration_answer,Republican,0.44
correct_true_all_10,q_0_consideration_answer,Democrat,0.43
correct_true_all_10,q_0_consideration_answer,Independent,0.22
correct_true_all_10,q_0_consideration_answer,Republican,0.34
correct_true_all_10,q_0_consideration_answer,Something else,0.01
correct_true_politifact_5,q_0_consideration_answer,Democrat,0.52
correct_true_politifact_5,q_0_consideration_answer,Independent,0.22
correct_true_politifact_5,q_0_consideration_answer,Republican,0.24
correct_true_politifact_5,q_0_consideration_answer,Something else,0.02
wrong_false_abc_5,q_0_consideration_answer,Democrat,0.46
wrong_false_abc_5,q_0_consideration_answer,Independent,0.22
wrong_false_abc_5,q_0_consideration_answer,Republican,0.3
wrong_false_abc_5,q_0_consideration_answer,Something else,0.02
wrong_false_all_10,q_0_consideration_answer,Democrat,0.48
wrong_false_all_10,q_0_consideration_answer,Independent,0.21
wrong_false_all_10,q_0_consideration_answer,Republican,0.27
wrong_false_all_10,q_0_consideration_answer,Something else,0.03
wrong_false_politifact_5,q_0_consideration_answer,Democrat,0.54
wrong_false_politifact_5,q_0_consideration_answer,Independent,0.2
wrong_false_politifact_5,q_0_consideration_answer,Republican,0.24
wrong_false_politifact_5,q_0_consideration_answer,Something else,0.02
wrong_true_abc_5,q_0_consideration_answer,Democrat,0.48
wrong_true_abc_5,q_0_consideration_answer,Independent,0.24
wrong_true_abc_5,q_0_consideration_answer,Republican,0.26
wrong_true_abc_5,q_0_consideration_answer,Something else,0.02
wrong_true_all_10,q_0_consideration_answer,Democrat,0.48
wrong_true_all_10,q_0_consideration_answer,Independent,0.23
wrong_true_all_10,q_0_consideration_answer,Republican,0.27
wrong_true_all_10,q_0_consideration_answer,Something else,0.02
wrong_true_politifact_5,q_0_consideration_answer,Democrat,0.44
wrong_true_politifact_5,q_0_consideration_answer,Independent,0.22
wrong_true_politifact_5,q_0_consideration_answer,Republican,0.32
wrong_true_politifact_5,q_0_consideration_answer,Something else,0.02
correct_false_abc_5,q_0_southern_border_answer,Agree,0.34
correct_false_abc_5,q_0_southern_border_answer,Disagree,0.58
correct_false_abc_5,q_0_southern_border_answer,No opinion either way,0.1
correct_false_all_10,q_0_southern_border_answer,Agree,0.34
correct_false_all_10,q_0_southern_border_answer,Disagree,0.6
correct_false_all_10,q_0_southern_border_answer,No opinion either way,0.07
correct_false_politifact_5,q_0_southern_border_answer,Agree,0.34
correct_false_politifact_5,q_0_southern_border_answer,Disagree,0.62
correct_false_politifact_5,q_0_southern_border_answer,No opinion either way,0.04
correct_true_abc_5,q_0_southern_border_answer,Agree,0.46
correct_true_abc_5,q_0_southern_border_answer,Disagree,0.48
correct_true_abc_5,q_0_southern_border_answer,No opinion either way,0.06
correct_true_all_10,q_0_southern_border_answer,Agree,0.5
correct_true_all_10,q_0_southern_border_answer,Disagree,0.44
correct_true_all_10,q_0_southern_border_answer,No opinion either way,0.06
correct_true_politifact_5,q_0_southern_border_answer,Agree,0.54
correct_true_politifact_5,q_0_southern_border_answer,Disagree,0.4
correct_true_politifact_5,q_0_southern_border_answer,No opinion either way,0.06
wrong_false_abc_5,q_0_southern_border_answer,Agree,0.54
wrong_false_abc_5,q_0_southern_border_answer,Disagree,0.44
wrong_false_abc_5,q_0_southern_border_answer,No opinion either way,0.02
wrong_false_all_10,q_0_southern_border_answer,Agree,0.46
wrong_false_all_10,q_0_southern_border_answer,Disagree,0.47
wrong_false_all_10,q_0_southern_border_answer,No opinion either way,0.06
wrong_false_politifact_5,q_0_southern_border_answer,Agree,0.44
wrong_false_politifact_5,q_0_southern_border_answer,Disagree,0.5
wrong_false_politifact_5,q_0_southern_border_answer,No opinion either way,0.06
wrong_true_abc_5,q_0_southern_border_answer,Agree,0.38
wrong_true_abc_5,q_0_southern_border_answer,Disagree,0.54
wrong_true_abc_5,q_0_southern_border_answer,No opinion either way,0.08
wrong_true_all_10,q_0_southern_border_answer,Agree,0.37
wrong_true_all_10,q_0_southern_border_answer,Disagree,0.54
wrong_true_all_10,q_0_southern_border_answer,No opinion either way,0.09
wrong_true_politifact_5,q_0_southern_border_answer,Agree,0.44
wrong_true_politifact_5,q_0_southern_border_answer,Disagree,0.46
wrong_true_politifact_5,q_0_southern_border_answer,No opinion either way,0.1
correct_false_abc_5,q_0_environment_answer,Agree,0.8
correct_false_abc_5,q_0_environment_answer,Disagree,0.12
correct_false_abc_5,q_0_environment_answer,No opinion either way,0.1
correct_false_all_10,q_0_environment_answer,Agree,0.79
correct_false_all_10,q_0_environment_answer,Disagree,0.14
correct_false_all_10,q_0_environment_answer,No opinion either way,0.08
correct_false_politifact_5,q_0_environment_answer,Agree,0.78
correct_false_politifact_5,q_0_environment_answer,Disagree,0.16
correct_false_politifact_5,q_0_environment_answer,No opinion either way,0.06
correct_true_abc_5,q_0_environment_answer,Agree,0.82
correct_true_abc_5,q_0_environment_answer,Disagree,0.14
correct_true_abc_5,q_0_environment_answer,No opinion either way,0.04
correct_true_all_10,q_0_environment_answer,Agree,0.83
correct_true_all_10,q_0_environment_answer,Disagree,0.1
correct_true_all_10,q_0_environment_answer,No opinion either way,0.07
correct_true_politifact_5,q_0_environment_answer,Agree,0.84
correct_true_politifact_5,q_0_environment_answer,Disagree,0.06
correct_true_politifact_5,q_0_environment_answer,No opinion either way,0.1
wrong_false_abc_5,q_0_environment_answer,Agree,0.88
wrong_false_abc_5,q_0_environment_answer,Disagree,0.06
wrong_false_abc_5,q_0_environment_answer,No opinion either way,0.06
wrong_false_all_10,q_0_environment_answer,Agree,0.89
wrong_false_all_10,q_0_environment_answer,Disagree,0.04
wrong_false_all_10,q_0_environment_answer,No opinion either way,0.06
wrong_false_politifact_5,q_0_environment_answer,Agree,0.9
wrong_false_politifact_5,q_0_environment_answer,Disagree,0.02
wrong_false_politifact_5,q_0_environment_answer,No opinion either way,0.08
wrong_true_abc_5,q_0_environment_answer,Agree,0.8
wrong_true_abc_5,q_0_environment_answer,Disagree,0.12
wrong_true_abc_5,q_0_environment_answer,No opinion either way,0.08
wrong_true_all_10,q_0_environment_answer,Agree,0.83
wrong_true_all_10,q_0_environment_answer,Disagree,0.11
wrong_true_all_10,q_0_environment_answer,No opinion either way,0.06
wrong_true_politifact_5,q_0_environment_answer,Agree,0.84
wrong_true_politifact_5,q_0_environment_answer,Disagree,0.12
wrong_true_politifact_5,q_0_environment_answer,No opinion either way,0.04
correct_false_abc_5,q_1_farmers_value,correct value,0.52
correct_false_abc_5,q_1_farmers_value,wrong value,0.5
correct_false_all_10,q_1_farmers_value,correct value,0.52
correct_false_all_10,q_1_farmers_value,wrong value,0.49
correct_false_politifact_5,q_1_farmers_value,correct value,0.52
correct_false_politifact_5,q_1_farmers_value,wrong value,0.48
correct_true_abc_5,q_1_farmers_value,correct value,0.52
correct_true_abc_5,q_1_farmers_value,wrong value,0.48
correct_true_all_10,q_1_farmers_value,correct value,0.52
correct_true_all_10,q_1_farmers_value,wrong value,0.48
correct_true_politifact_5,q_1_farmers_value,correct value,0.52
correct_true_politifact_5,q_1_farmers_value,wrong value,0.48
wrong_false_abc_5,q_1_farmers_value,correct value,0.48
wrong_false_abc_5,q_1_farmers_value,wrong value,0.52
wrong_false_all_10,q_1_farmers_value,correct value,0.45
wrong_false_all_10,q_1_farmers_value,wrong value,0.54
wrong_false_politifact_5,q_1_farmers_value,correct value,0.46
wrong_false_politifact_5,q_1_farmers_value,wrong value,0.54
wrong_true_abc_5,q_1_farmers_value,correct value,0.48
wrong_true_abc_5,q_1_farmers_value,wrong value,0.52
wrong_true_all_10,q_1_farmers_value,correct value,0.48
wrong_true_all_10,q_1_farmers_value,wrong value,0.52
wrong_true_politifact_5,q_1_farmers_value,correct value,0.44
